Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
83,b1024_r0.009,109354.0,1000.0,seed_0,1024.0,0.009
84,b1024_r0.009,111354.0,1000.0,seed_0,1024.0,0.009
85,b1024_r0.009,113354.0,1000.0,seed_0,1024.0,0.009
86,b1024_r0.009,115354.0,1000.0,seed_0,1024.0,0.009
87,b1024_r0.009,117354.0,1000.0,seed_0,1024.0,0.009
88,b1024_r0.009,119354.0,1000.0,seed_0,1024.0,0.009
89,b1024_r0.009,121354.0,1000.0,seed_0,1024.0,0.009
90,b1024_r0.009,123354.0,531.0,seed_0,1024.0,0.009
91,b1024_r0.009,125354.0,1000.0,seed_0,1024.0,0.009
92,b1024_r0.009,127154.0,1000.0,seed_0,1024.0,0.009
93,b1024_r0.009,129154.0,1000.0,seed_0,1024.0,0.009
94,b1024_r0.009,131154.0,1000.0,seed_0,1024.0,0.009
95,b1024_r0.009,133154.0,1000.0,seed_0,1024.0,0.009
96,b1024_r0.009,135154.0,1000.0,seed_0,1024.0,0.009
97,b1024_r0.009,136221.0,1000.0,seed_0,1024.0,0.009
98,b1024_r0.009,138221.0,63.71428680419922,seed_0,1024.0,0.009
99,b1024_r0.009,139267.0,58.0,seed_0,1024.0,0.009
0,b1024_r0.007,1024.0,12.65625,seed_0,1024.0,0.007
1,b1024_r0.007,2048.0,21.736841201782227,seed_0,1024.0,0.007
2,b1024_r0.007,3090.0,45.22222137451172,seed_0,1024.0,0.007
3,b1024_r0.007,4129.0,34.75,seed_0,1024.0,0.007
4,b1024_r0.007,5169.0,53.625,seed_0,1024.0,0.007
5,b1024_r0.007,6216.0,71.16666412353516,seed_0,1024.0,0.007
6,b1024_r0.007,7248.0,45.55555725097656,seed_0,1024.0,0.007
7,b1024_r0.007,8284.0,48.11111068725586,seed_0,1024.0,0.007
8,b1024_r0.007,9403.0,50.75,seed_0,1024.0,0.007
9,b1024_r0.007,10434.0,48.55555725097656,seed_0,1024.0,0.007
10,b1024_r0.007,11474.0,68.16666412353516,seed_0,1024.0,0.007
11,b1024_r0.007,12510.0,50.375,seed_0,1024.0,0.007
12,b1024_r0.007,13535.0,47.66666793823242,seed_0,1024.0,0.007
13,b1024_r0.007,14600.0,84.33333587646484,seed_0,1024.0,0.007
14,b1024_r0.007,15682.0,85.66666412353516,seed_0,1024.0,0.007
15,b1024_r0.007,16763.0,65.14286041259766,seed_0,1024.0,0.007
16,b1024_r0.007,17833.0,108.75,seed_0,1024.0,0.007
17,b1024_r0.007,18860.0,73.5,seed_0,1024.0,0.007
18,b1024_r0.007,19936.0,73.66666412353516,seed_0,1024.0,0.007
19,b1024_r0.007,21038.0,95.80000305175781,seed_0,1024.0,0.007
20,b1024_r0.007,22123.0,102.5,seed_0,1024.0,0.007
21,b1024_r0.007,23173.0,108.5,seed_0,1024.0,0.007
22,b1024_r0.007,24242.0,100.4000015258789,seed_0,1024.0,0.007
23,b1024_r0.007,25306.0,100.4000015258789,seed_0,1024.0,0.007
24,b1024_r0.007,26377.0,80.4000015258789,seed_0,1024.0,0.007
25,b1024_r0.007,27472.0,108.75,seed_0,1024.0,0.007
26,b1024_r0.007,28767.0,101.4000015258789,seed_0,1024.0,0.007
27,b1024_r0.007,29860.0,156.25,seed_0,1024.0,0.007
28,b1024_r0.007,30930.0,111.0,seed_0,1024.0,0.007
29,b1024_r0.007,31989.0,205.6666717529297,seed_0,1024.0,0.007
30,b1024_r0.007,33163.0,167.5,seed_0,1024.0,0.007
31,b1024_r0.007,34293.0,176.25,seed_0,1024.0,0.007
32,b1024_r0.007,35381.0,119.25,seed_0,1024.0,0.007
33,b1024_r0.007,36455.0,136.0,seed_0,1024.0,0.007
34,b1024_r0.007,37492.0,106.25,seed_0,1024.0,0.007
35,b1024_r0.007,38578.0,85.4000015258789,seed_0,1024.0,0.007
36,b1024_r0.007,39603.0,109.25,seed_0,1024.0,0.007
37,b1024_r0.007,40740.0,66.42857360839844,seed_0,1024.0,0.007
38,b1024_r0.007,41824.0,126.25,seed_0,1024.0,0.007
39,b1024_r0.007,42871.0,85.5999984741211,seed_0,1024.0,0.007
40,b1024_r0.007,43909.0,94.80000305175781,seed_0,1024.0,0.007
41,b1024_r0.007,45071.0,149.0,seed_0,1024.0,0.007
42,b1024_r0.007,46349.0,223.0,seed_0,1024.0,0.007
43,b1024_r0.007,47589.0,117.25,seed_0,1024.0,0.007
44,b1024_r0.007,48976.0,208.0,seed_0,1024.0,0.007
45,b1024_r0.007,50086.0,319.0,seed_0,1024.0,0.007
46,b1024_r0.007,51857.0,598.0,seed_0,1024.0,0.007
47,b1024_r0.007,53024.0,271.0,seed_0,1024.0,0.007
48,b1024_r0.007,54316.0,721.0,seed_0,1024.0,0.007
49,b1024_r0.007,55748.0,522.0,seed_0,1024.0,0.007
50,b1024_r0.007,56934.0,152.6666717529297,seed_0,1024.0,0.007
51,b1024_r0.007,58210.0,220.5,seed_0,1024.0,0.007
52,b1024_r0.007,59791.0,111.25,seed_0,1024.0,0.007
53,b1024_r0.007,61258.0,210.5,seed_0,1024.0,0.007
54,b1024_r0.007,62557.0,992.0,seed_0,1024.0,0.007
55,b1024_r0.007,63754.0,647.0,seed_0,1024.0,0.007
56,b1024_r0.007,64838.0,413.0,seed_0,1024.0,0.007
57,b1024_r0.007,66439.0,414.0,seed_0,1024.0,0.007
58,b1024_r0.007,67465.0,823.0,seed_0,1024.0,0.007
59,b1024_r0.007,68734.0,171.6666717529297,seed_0,1024.0,0.007
60,b1024_r0.007,70009.0,336.0,seed_0,1024.0,0.007
61,b1024_r0.007,71183.0,447.6666564941406,seed_0,1024.0,0.007
62,b1024_r0.007,72874.0,439.0,seed_0,1024.0,0.007
63,b1024_r0.007,74436.0,133.3333282470703,seed_0,1024.0,0.007
64,b1024_r0.007,75612.0,227.3333282470703,seed_0,1024.0,0.007
65,b1024_r0.007,76704.0,117.4000015258789,seed_0,1024.0,0.007
66,b1024_r0.007,77820.0,115.75,seed_0,1024.0,0.007
67,b1024_r0.007,79172.0,148.3333282470703,seed_0,1024.0,0.007
68,b1024_r0.007,80570.0,254.5,seed_0,1024.0,0.007
69,b1024_r0.007,81861.0,734.0,seed_0,1024.0,0.007
70,b1024_r0.007,83084.0,1000.0,seed_0,1024.0,0.007
71,b1024_r0.007,84747.0,1000.0,seed_0,1024.0,0.007
72,b1024_r0.007,86747.0,1000.0,seed_0,1024.0,0.007
73,b1024_r0.007,88747.0,1000.0,seed_0,1024.0,0.007
74,b1024_r0.007,90747.0,1000.0,seed_0,1024.0,0.007
75,b1024_r0.007,92747.0,1000.0,seed_0,1024.0,0.007
76,b1024_r0.007,94747.0,1000.0,seed_0,1024.0,0.007
77,b1024_r0.007,96747.0,1000.0,seed_0,1024.0,0.007
78,b1024_r0.007,98698.0,597.0,seed_0,1024.0,0.007
79,b1024_r0.007,99981.0,165.75,seed_0,1024.0,0.007
80,b1024_r0.007,101192.0,425.0,seed_0,1024.0,0.007
81,b1024_r0.007,102393.0,1000.0,seed_0,1024.0,0.007
