Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
0,serach_b50000_lr0.02_rtg_nnbaseline,50100.0,-75.4246597290039,seed_1,50000.0,0.02
1,serach_b50000_lr0.02_rtg_nnbaseline,100200.0,-113.87715911865234,seed_1,50000.0,0.02
2,serach_b50000_lr0.02_rtg_nnbaseline,150300.0,-123.1880111694336,seed_1,50000.0,0.02
3,serach_b50000_lr0.02_rtg_nnbaseline,200400.0,-89.7894058227539,seed_1,50000.0,0.02
4,serach_b50000_lr0.02_rtg_nnbaseline,250500.0,-97.18437957763672,seed_1,50000.0,0.02
5,serach_b50000_lr0.02_rtg_nnbaseline,300600.0,-64.5416030883789,seed_1,50000.0,0.02
6,serach_b50000_lr0.02_rtg_nnbaseline,350700.0,-49.87626266479492,seed_1,50000.0,0.02
7,serach_b50000_lr0.02_rtg_nnbaseline,400800.0,-58.43962478637695,seed_1,50000.0,0.02
8,serach_b50000_lr0.02_rtg_nnbaseline,450900.0,-47.051204681396484,seed_1,50000.0,0.02
9,serach_b50000_lr0.02_rtg_nnbaseline,501000.0,-41.31062316894531,seed_1,50000.0,0.02
10,serach_b50000_lr0.02_rtg_nnbaseline,551100.0,-37.10047149658203,seed_1,50000.0,0.02
11,serach_b50000_lr0.02_rtg_nnbaseline,601200.0,-37.95747756958008,seed_1,50000.0,0.02
12,serach_b50000_lr0.02_rtg_nnbaseline,651300.0,-10.821986198425293,seed_1,50000.0,0.02
13,serach_b50000_lr0.02_rtg_nnbaseline,701400.0,-15.770216941833496,seed_1,50000.0,0.02
14,serach_b50000_lr0.02_rtg_nnbaseline,751500.0,-25.545251846313477,seed_1,50000.0,0.02
15,serach_b50000_lr0.02_rtg_nnbaseline,801600.0,-13.949333190917969,seed_1,50000.0,0.02
16,serach_b50000_lr0.02_rtg_nnbaseline,851700.0,-17.252811431884766,seed_1,50000.0,0.02
17,serach_b50000_lr0.02_rtg_nnbaseline,901800.0,-36.71873474121094,seed_1,50000.0,0.02
18,serach_b50000_lr0.02_rtg_nnbaseline,951900.0,-19.071819305419922,seed_1,50000.0,0.02
19,serach_b50000_lr0.02_rtg_nnbaseline,1002000.0,-19.224143981933594,seed_1,50000.0,0.02
20,serach_b50000_lr0.02_rtg_nnbaseline,1052100.0,-25.583999633789062,seed_1,50000.0,0.02
21,serach_b50000_lr0.02_rtg_nnbaseline,1102200.0,-26.474767684936523,seed_1,50000.0,0.02
22,serach_b50000_lr0.02_rtg_nnbaseline,1152300.0,-7.719664096832275,seed_1,50000.0,0.02
23,serach_b50000_lr0.02_rtg_nnbaseline,1202400.0,-15.936640739440918,seed_1,50000.0,0.02
24,serach_b50000_lr0.02_rtg_nnbaseline,1252500.0,-0.2786216735839844,seed_1,50000.0,0.02
25,serach_b50000_lr0.02_rtg_nnbaseline,1302600.0,-12.46718692779541,seed_1,50000.0,0.02
26,serach_b50000_lr0.02_rtg_nnbaseline,1352700.0,-14.107905387878418,seed_1,50000.0,0.02
27,serach_b50000_lr0.02_rtg_nnbaseline,1402800.0,-11.00220012664795,seed_1,50000.0,0.02
28,serach_b50000_lr0.02_rtg_nnbaseline,1452900.0,-20.066129684448242,seed_1,50000.0,0.02
29,serach_b50000_lr0.02_rtg_nnbaseline,1503000.0,-5.942887783050537,seed_1,50000.0,0.02
30,serach_b50000_lr0.02_rtg_nnbaseline,1553100.0,14.432099342346191,seed_1,50000.0,0.02
31,serach_b50000_lr0.02_rtg_nnbaseline,1603200.0,0.19266636669635773,seed_1,50000.0,0.02
32,serach_b50000_lr0.02_rtg_nnbaseline,1653300.0,28.159032821655273,seed_1,50000.0,0.02
33,serach_b50000_lr0.02_rtg_nnbaseline,1703400.0,38.22163772583008,seed_1,50000.0,0.02
34,serach_b50000_lr0.02_rtg_nnbaseline,1753500.0,36.711856842041016,seed_1,50000.0,0.02
35,serach_b50000_lr0.02_rtg_nnbaseline,1803600.0,34.21843719482422,seed_1,50000.0,0.02
36,serach_b50000_lr0.02_rtg_nnbaseline,1853700.0,32.757015228271484,seed_1,50000.0,0.02
37,serach_b50000_lr0.02_rtg_nnbaseline,1903800.0,54.94083786010742,seed_1,50000.0,0.02
38,serach_b50000_lr0.02_rtg_nnbaseline,1953900.0,61.4751091003418,seed_1,50000.0,0.02
39,serach_b50000_lr0.02_rtg_nnbaseline,2004000.0,56.61836624145508,seed_1,50000.0,0.02
40,serach_b50000_lr0.02_rtg_nnbaseline,2054100.0,77.8023910522461,seed_1,50000.0,0.02
41,serach_b50000_lr0.02_rtg_nnbaseline,2104200.0,59.73013687133789,seed_1,50000.0,0.02
42,serach_b50000_lr0.02_rtg_nnbaseline,2154300.0,75.00934600830078,seed_1,50000.0,0.02
43,serach_b50000_lr0.02_rtg_nnbaseline,2204400.0,95.2706527709961,seed_1,50000.0,0.02
44,serach_b50000_lr0.02_rtg_nnbaseline,2254500.0,80.7396011352539,seed_1,50000.0,0.02
45,serach_b50000_lr0.02_rtg_nnbaseline,2304600.0,97.67431640625,seed_1,50000.0,0.02
46,serach_b50000_lr0.02_rtg_nnbaseline,2354700.0,108.17657470703125,seed_1,50000.0,0.02
47,serach_b50000_lr0.02_rtg_nnbaseline,2404800.0,78.48490142822266,seed_1,50000.0,0.02
48,serach_b50000_lr0.02_rtg_nnbaseline,2454900.0,86.73177337646484,seed_1,50000.0,0.02
49,serach_b50000_lr0.02_rtg_nnbaseline,2505000.0,78.57561492919922,seed_1,50000.0,0.02
50,serach_b50000_lr0.02_rtg_nnbaseline,2555100.0,79.1529769897461,seed_1,50000.0,0.02
51,serach_b50000_lr0.02_rtg_nnbaseline,2605200.0,98.7347640991211,seed_1,50000.0,0.02
52,serach_b50000_lr0.02_rtg_nnbaseline,2655300.0,120.08182525634766,seed_1,50000.0,0.02
53,serach_b50000_lr0.02_rtg_nnbaseline,2705400.0,106.21804809570312,seed_1,50000.0,0.02
54,serach_b50000_lr0.02_rtg_nnbaseline,2755500.0,116.11615753173828,seed_1,50000.0,0.02
55,serach_b50000_lr0.02_rtg_nnbaseline,2805600.0,114.7045669555664,seed_1,50000.0,0.02
56,serach_b50000_lr0.02_rtg_nnbaseline,2855700.0,99.06519317626953,seed_1,50000.0,0.02
57,serach_b50000_lr0.02_rtg_nnbaseline,2905800.0,126.1830825805664,seed_1,50000.0,0.02
58,serach_b50000_lr0.02_rtg_nnbaseline,2955900.0,75.71200561523438,seed_1,50000.0,0.02
59,serach_b50000_lr0.02_rtg_nnbaseline,3006000.0,121.24517059326172,seed_1,50000.0,0.02
60,serach_b50000_lr0.02_rtg_nnbaseline,3056100.0,116.33746337890625,seed_1,50000.0,0.02
61,serach_b50000_lr0.02_rtg_nnbaseline,3106200.0,112.2274169921875,seed_1,50000.0,0.02
62,serach_b50000_lr0.02_rtg_nnbaseline,3156300.0,126.6873779296875,seed_1,50000.0,0.02
63,serach_b50000_lr0.02_rtg_nnbaseline,3206400.0,131.21429443359375,seed_1,50000.0,0.02
64,serach_b50000_lr0.02_rtg_nnbaseline,3256500.0,132.25640869140625,seed_1,50000.0,0.02
65,serach_b50000_lr0.02_rtg_nnbaseline,3306600.0,116.16971588134766,seed_1,50000.0,0.02
66,serach_b50000_lr0.02_rtg_nnbaseline,3356700.0,123.86042022705078,seed_1,50000.0,0.02
67,serach_b50000_lr0.02_rtg_nnbaseline,3406800.0,127.8780746459961,seed_1,50000.0,0.02
68,serach_b50000_lr0.02_rtg_nnbaseline,3456900.0,142.59376525878906,seed_1,50000.0,0.02
69,serach_b50000_lr0.02_rtg_nnbaseline,3507000.0,139.65072631835938,seed_1,50000.0,0.02
70,serach_b50000_lr0.02_rtg_nnbaseline,3557100.0,125.00631713867188,seed_1,50000.0,0.02
71,serach_b50000_lr0.02_rtg_nnbaseline,3607200.0,125.62883758544922,seed_1,50000.0,0.02
72,serach_b50000_lr0.02_rtg_nnbaseline,3657300.0,128.1260223388672,seed_1,50000.0,0.02
73,serach_b50000_lr0.02_rtg_nnbaseline,3707400.0,133.2275848388672,seed_1,50000.0,0.02
