Iteration,Experiment,Train_EnvstepsSoFar,Eval_AverageReturn,seed,batch size,learning rate
0,serach_b10000_lr0.005_rtg_nnbaseline,10050.0,-91.431640625,seed_3,10000.0,0.005
1,serach_b10000_lr0.005_rtg_nnbaseline,20100.0,-86.4897232055664,seed_3,10000.0,0.005
2,serach_b10000_lr0.005_rtg_nnbaseline,30150.0,-74.91320037841797,seed_3,10000.0,0.005
3,serach_b10000_lr0.005_rtg_nnbaseline,40200.0,-73.80824279785156,seed_3,10000.0,0.005
4,serach_b10000_lr0.005_rtg_nnbaseline,50250.0,-60.12653732299805,seed_3,10000.0,0.005
5,serach_b10000_lr0.005_rtg_nnbaseline,60300.0,-120.04203033447266,seed_3,10000.0,0.005
6,serach_b10000_lr0.005_rtg_nnbaseline,70350.0,-57.70814895629883,seed_3,10000.0,0.005
7,serach_b10000_lr0.005_rtg_nnbaseline,80400.0,-57.93657302856445,seed_3,10000.0,0.005
8,serach_b10000_lr0.005_rtg_nnbaseline,90450.0,-100.14543914794922,seed_3,10000.0,0.005
9,serach_b10000_lr0.005_rtg_nnbaseline,100500.0,-103.7703857421875,seed_3,10000.0,0.005
10,serach_b10000_lr0.005_rtg_nnbaseline,110550.0,-68.7906723022461,seed_3,10000.0,0.005
11,serach_b10000_lr0.005_rtg_nnbaseline,120600.0,-113.3841552734375,seed_3,10000.0,0.005
12,serach_b10000_lr0.005_rtg_nnbaseline,130650.0,-58.6978645324707,seed_3,10000.0,0.005
13,serach_b10000_lr0.005_rtg_nnbaseline,140700.0,-82.58019256591797,seed_3,10000.0,0.005
14,serach_b10000_lr0.005_rtg_nnbaseline,150750.0,-53.98557662963867,seed_3,10000.0,0.005
15,serach_b10000_lr0.005_rtg_nnbaseline,160800.0,-117.218994140625,seed_3,10000.0,0.005
16,serach_b10000_lr0.005_rtg_nnbaseline,170850.0,-21.4172420501709,seed_3,10000.0,0.005
17,serach_b10000_lr0.005_rtg_nnbaseline,180900.0,-58.228271484375,seed_3,10000.0,0.005
18,serach_b10000_lr0.005_rtg_nnbaseline,190950.0,-51.22037124633789,seed_3,10000.0,0.005
19,serach_b10000_lr0.005_rtg_nnbaseline,201000.0,-66.06534576416016,seed_3,10000.0,0.005
20,serach_b10000_lr0.005_rtg_nnbaseline,211050.0,-62.01283264160156,seed_3,10000.0,0.005
21,serach_b10000_lr0.005_rtg_nnbaseline,221100.0,-96.94528198242188,seed_3,10000.0,0.005
22,serach_b10000_lr0.005_rtg_nnbaseline,231150.0,-64.2607650756836,seed_3,10000.0,0.005
23,serach_b10000_lr0.005_rtg_nnbaseline,241200.0,-57.7922248840332,seed_3,10000.0,0.005
24,serach_b10000_lr0.005_rtg_nnbaseline,251250.0,-35.8970947265625,seed_3,10000.0,0.005
25,serach_b10000_lr0.005_rtg_nnbaseline,261300.0,-54.27557373046875,seed_3,10000.0,0.005
26,serach_b10000_lr0.005_rtg_nnbaseline,271350.0,-74.96935272216797,seed_3,10000.0,0.005
27,serach_b10000_lr0.005_rtg_nnbaseline,281400.0,-42.09723663330078,seed_3,10000.0,0.005
28,serach_b10000_lr0.005_rtg_nnbaseline,291450.0,-64.55957794189453,seed_3,10000.0,0.005
29,serach_b10000_lr0.005_rtg_nnbaseline,301500.0,-51.018367767333984,seed_3,10000.0,0.005
30,serach_b10000_lr0.005_rtg_nnbaseline,311550.0,-41.80351638793945,seed_3,10000.0,0.005
31,serach_b10000_lr0.005_rtg_nnbaseline,321600.0,-53.158870697021484,seed_3,10000.0,0.005
32,serach_b10000_lr0.005_rtg_nnbaseline,331650.0,-35.09330368041992,seed_3,10000.0,0.005
33,serach_b10000_lr0.005_rtg_nnbaseline,341700.0,-34.1401481628418,seed_3,10000.0,0.005
34,serach_b10000_lr0.005_rtg_nnbaseline,351750.0,-75.1270523071289,seed_3,10000.0,0.005
35,serach_b10000_lr0.005_rtg_nnbaseline,361800.0,-38.42366409301758,seed_3,10000.0,0.005
36,serach_b10000_lr0.005_rtg_nnbaseline,371850.0,-59.554317474365234,seed_3,10000.0,0.005
37,serach_b10000_lr0.005_rtg_nnbaseline,381900.0,-51.83544921875,seed_3,10000.0,0.005
38,serach_b10000_lr0.005_rtg_nnbaseline,391950.0,-43.237640380859375,seed_3,10000.0,0.005
39,serach_b10000_lr0.005_rtg_nnbaseline,402000.0,-33.96414566040039,seed_3,10000.0,0.005
40,serach_b10000_lr0.005_rtg_nnbaseline,412050.0,-61.12627029418945,seed_3,10000.0,0.005
41,serach_b10000_lr0.005_rtg_nnbaseline,422100.0,-37.41693115234375,seed_3,10000.0,0.005
42,serach_b10000_lr0.005_rtg_nnbaseline,432150.0,-59.975555419921875,seed_3,10000.0,0.005
43,serach_b10000_lr0.005_rtg_nnbaseline,442200.0,-52.4512825012207,seed_3,10000.0,0.005
44,serach_b10000_lr0.005_rtg_nnbaseline,452250.0,-53.60237503051758,seed_3,10000.0,0.005
45,serach_b10000_lr0.005_rtg_nnbaseline,462300.0,-39.59306716918945,seed_3,10000.0,0.005
46,serach_b10000_lr0.005_rtg_nnbaseline,472350.0,-39.433685302734375,seed_3,10000.0,0.005
47,serach_b10000_lr0.005_rtg_nnbaseline,482400.0,-12.814834594726562,seed_3,10000.0,0.005
48,serach_b10000_lr0.005_rtg_nnbaseline,492450.0,-46.87406539916992,seed_3,10000.0,0.005
49,serach_b10000_lr0.005_rtg_nnbaseline,502500.0,-37.34800720214844,seed_3,10000.0,0.005
50,serach_b10000_lr0.005_rtg_nnbaseline,512550.0,-22.279586791992188,seed_3,10000.0,0.005
51,serach_b10000_lr0.005_rtg_nnbaseline,522600.0,-22.4779052734375,seed_3,10000.0,0.005
52,serach_b10000_lr0.005_rtg_nnbaseline,532650.0,-20.907920837402344,seed_3,10000.0,0.005
53,serach_b10000_lr0.005_rtg_nnbaseline,542700.0,-48.81583786010742,seed_3,10000.0,0.005
54,serach_b10000_lr0.005_rtg_nnbaseline,552750.0,-49.48652267456055,seed_3,10000.0,0.005
55,serach_b10000_lr0.005_rtg_nnbaseline,562800.0,-33.1750602722168,seed_3,10000.0,0.005
56,serach_b10000_lr0.005_rtg_nnbaseline,572850.0,-34.45143508911133,seed_3,10000.0,0.005
57,serach_b10000_lr0.005_rtg_nnbaseline,582900.0,-31.957353591918945,seed_3,10000.0,0.005
58,serach_b10000_lr0.005_rtg_nnbaseline,592950.0,-37.368316650390625,seed_3,10000.0,0.005
